check_id,url,severity,status,source,artifact_ref,result,next_action
public_crawl_evidence_available,https://www.strique.io,low,pass,firecrawl,brands/strique/exports/url-inventory.csv,63 public URLs are available in the crawl inventory.,
rendered_browser_evidence_available,https://www.strique.io,low,pass,playwright,brands/strique/references/evidence/20260629T193943Z/pages/511c7435dc7b/playwright.json,63 Playwright page artifacts are available.,
performance_evidence_available,https://www.strique.io,low,pass,lighthouse,brands/strique/references/evidence/20260629T193943Z/pages/511c7435dc7b/lighthouse.json,127 lab or field performance artifacts are available.,
keyword_demand_evidence_available,https://www.strique.io,low,pass,keyword_planner,brands/strique/references/evidence/20260629T193943Z/keyword_planner.json,Keyword Planner evidence is available.,
keyword_intent_grouping,https://www.strique.io,medium,pass,keyword_planner,brands/strique/references/evidence/20260629T193943Z/keyword_planner.json,228 keyword rows grouped into 3 intents and 6 page types.,
posthog_evidence_available,https://www.strique.io,low,fail,posthog,brands/strique/references/evidence/20260629T193943Z/posthog.json,posthog evidence status is blocked.,Record analytics evidence from the connected provider.
crawl_waste_review,https://www.strique.io,medium,pass,firecrawl,brands/strique/exports/url-inventory.csv,0 crawl error or blocked rows found in public inventory.,
redirect_chain_valid,https://www.strique.io,medium,not_applicable,firecrawl,brands/strique/exports/url-inventory.csv,No moved URL or redirect inventory was provided.,
non_html_asset_inventory,https://www.strique.io,low,not_applicable,firecrawl,brands/strique/exports/url-inventory.csv,No non-HTML public assets were included in the crawl inventory.,
non_html_x_robots,https://www.strique.io,low,not_applicable,firecrawl,brands/strique/exports/url-inventory.csv,No non-HTML assets require X-Robots-Tag review.,
tls_certificate_valid,https://www.strique.io,high,pass,public_http,brands/strique/references/evidence/20260629T193943Z/public-http.json,TLS certificate has 35 days remaining.,
hsts_header_present,https://www.strique.io,medium,fail,public_http,brands/strique/references/evidence/20260629T193943Z/public-http.json,Strict-Transport-Security header is missing.,Add HSTS if forced HTTPS is safe for the production domain.
non_production_canonical,https://www.strique.io,medium,not_applicable,firecrawl,brands/strique/exports/url-inventory.csv,No staging or preview URLs were discovered.,
non_production_indexation,https://www.strique.io,medium,not_applicable,firecrawl,brands/strique/exports/url-inventory.csv,No non-production URLs were discovered.,
gsc_url_inspection_indexing,https://www.strique.io,high,fail,gsc,brands/strique/references/evidence/20260629T193943Z/gsc.json,URL Inspection issues found: https://www.strique.io/blog: Not found (404),Fix URL Inspection indexing blockers for priority URLs.
gsc_search_appearance_review,https://www.strique.io,low,pass,gsc,brands/strique/references/evidence/20260629T193943Z/gsc.json,GSC search appearance export reviewed with 0 rows.,
gsc_serp_expectation,https://www.strique.io,medium,pass,gsc,brands/strique/references/evidence/20260629T193943Z/gsc.json,2455 query/page/country rows available for SERP expectation review.,
gsc_measurement_coverage,https://www.strique.io,medium,pass,gsc,brands/strique/references/evidence/20260629T193943Z/gsc.json,"GSC artifact includes 2455 query/page/country rows, 2496 page/date rows, and 10 URL Inspection rows.",
gsc_landing_page_performance,https://www.strique.io,medium,pass,gsc,brands/strique/references/evidence/20260629T193943Z/gsc.json,2455 query/page/country rows and 2496 page/date rows available for organic landing-page review.,
gsc_query_drift,https://www.strique.io,medium,pass,gsc,brands/strique/references/evidence/20260629T193943Z/gsc.json,3000 query/page/date rows available for query drift review.,
gsc_decay,https://www.strique.io,medium,pass,gsc,brands/strique/references/evidence/20260629T193943Z/gsc.json,2496 dated GSC rows available for decay analysis.,
crawl_status,https://www.strique.io/,high,pass,firecrawl,brands/strique/references/crawls/20260629T193943Z/pages/511c7435dc7b/firecrawl.json,URL crawled with status 200.,
indexable,https://www.strique.io/,high,pass,firecrawl,brands/strique/references/crawls/20260629T193943Z/pages/511c7435dc7b/firecrawl.json,Indexability is yes.,
title_present,https://www.strique.io/,medium,pass,firecrawl,brands/strique/references/crawls/20260629T193943Z/pages/511c7435dc7b/firecrawl.json,Title: Agentic AI Marketing Platform for Growth Teams | Strique,
meta_description_present,https://www.strique.io/,medium,pass,firecrawl,brands/strique/references/crawls/20260629T193943Z/pages/511c7435dc7b/firecrawl.json,"Meta description: Run paid media, SEO, content, lifecycle, and reporting from one agentic AI. The leading agentic AI for marketing — used by 1,247 marketers in 38 countries.",
single_h1,https://www.strique.io/,medium,fail,firecrawl,brands/strique/references/crawls/20260629T193943Z/pages/511c7435dc7b/firecrawl.json,H1 count is 2.,Use one clear H1 on the page.
