keyword,intent,page_type,target_url,volume,difficulty,priority,status
running shoes for men,commercial,collection,https://offlimits.co.in/collections/men-running-shoes,,,high,new
running shoes for women,commercial,collection,https://offlimits.co.in/collections/women-running-shoes,,,high,new
gym shoes for men,commercial,collection,https://offlimits.co.in/collections/men-gym-training,,,high,new
basketball shoes,commercial,collection,https://offlimits.co.in/collections/men-basketball,,,high,new
sneakers for men,commercial,collection,https://offlimits.co.in/collections/men-lifestyle-recover-kicks,,,high,new
sports shoes for men,commercial,collection,https://offlimits.co.in/collections/men-shoes,,,high,new
plus size shoes for men,commercial,collection,https://offlimits.co.in/collections/big-tall,,,high,new
track suit for men,commercial,collection,https://offlimits.co.in/collections/men-track-suits,,,high,new
best running shoes for men in india,commercial,collection,https://offlimits.co.in/collections/best-running-shoes,,,high,new
sandals for men,commercial,collection,https://offlimits.co.in/collections/men-sandals-sliders,,,medium,new
joggers for men,commercial,collection,https://offlimits.co.in/collections/men-joggers-track-pants,,,medium,new
stussy shoes india,commercial,collection,https://offlimits.co.in/collections/stussy,,,medium,new
offlimits shoes,navigational,homepage,https://offlimits.co.in,,,high,new
running shoes vs gym shoes,informational,blog,https://offlimits.co.in/blogs/blogs/running-vs-gym-shoes-uncover-the-difference-between-running-vs-gym-shoes,,,medium,new
