"Address","Occurrences","H2-1","H2-1 Length","H2-2","H2-2 Length","Indexability","Indexability Status"
"https://offlimits.co.in/collections/white-shoes-for-men","1","White Shoes For Men | Style Meets Comfort With OffLimits","56","","0","Indexable",""
"https://offlimits.co.in/collections/men-track-suits","7","Tracksuits for Men","18","Offlimits Tracksuits for Men: A Blend of Sporty and Casual","58","Indexable",""
"https://offlimits.co.in/collections/men-sandals-sliders","3","Why Slippers for Men?","21","Core Build: What You Actually Step On","37","Indexable",""
"https://offlimits.co.in/collections/men-running-shoes","1","Running Shoes for Men: Step Up Your Game with Offlimits","55","","0","Indexable",""
"https://offlimits.co.in/collections/men-gym-training","1","Training Shoes for Men. No Distractions. Just Performance.","58","","0","Indexable",""
"https://offlimits.co.in/collections/leather-shoes","1","Leather Sneaker: That One Pair You Will Reach For Again & Again","63","","0","Indexable",""
"https://offlimits.co.in/collections/high-top-shoes-for-men","1","High-Top Shoes For Men That Keep Up With Real Life","50","","0","Indexable",""
"https://offlimits.co.in/collections/casual-shoes-men","1","Casual Shoes For Men: How OffLimits Keeps Your Moves Stylish & Easy","67","","0","Indexable",""
"https://offlimits.co.in/collections/black-shoes-for-men","1","Black Shoes For Men for Everyday Wear","37","","0","Indexable",""
"https://offlimits.co.in/collections/men-shoes","4","Shoes for Men Who Train, Hustle & Live Loud","43","Why Shoes For Men Matter Right Now","34","Indexable",""
