"Address","Occurrences","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Indexability","Indexability Status"
"https://inc5shop.com/","1","Inc.5 Shoes is an exclusive fashion footwear brand. From classy boots for men to trendy heels for the ladies. Get your favourites delivered right to your doorstep. Women Western Wear. Ethnic Wear. Men Footwear. Men Casual Wear.","227","1466","Indexable",""
"https://inc5shop.com/pages/care-instructions","0","","0","0","Indexable",""
"https://inc5shop.com/collections/mens-driving-shoes","1","Driving Shoes - Buy premium men's driving shoes online at the best price. Discover the Inc5's collection of driving loafers in different sizes, colors, & patterns, with COD options.","181","1102","Indexable",""
"https://inc5shop.com/collections/clutch-bags","1","Stand out with a dual-toned purple embellished clutch bag for womn. Designed for bold fashion lovers, this piece for sure adds charm and elegance to any outfit.","160","1011","Indexable",""
"https://inc5shop.com/collections/mens-formals","1","Shop men’s formal shoes online at INC5 featuring formal shoes for men stylish lace-ups, loafers, and office-ready footwear designed for comfort, and elegance.","158","1008","Indexable",""
"https://inc5shop.com/collections/womens-flats","1","Flats for Women - Buy flat shoes & flat sandals for women online. Inc5 offers a wide variety of ladies flats, Including flat-form boots, ethnic flats mules, ballerina flats, & more.","181","1090","Indexable",""
"https://inc5shop.com/blogs/blog","0","","0","0","Indexable",""
"https://inc5shop.com/collections/like-mother-like-daughter?filter.v.availability=1","1","Timeless style, two generations, one bond.","42","271","Non-Indexable","Canonicalised"
"https://inc5shop.com/collections/transparent-heel-for-women","1","Transparent Heels - Buy transparent heels for women online at Inc5. Discover the transparent sandals collection in transparent flats, two strap transparent block heel & more.","174","1096","Indexable",""
"https://inc5shop.com/collections/no-sale-inc5","0","","0","0","Indexable",""
"https://inc5shop.com/collections/mens-slipons","1","Mens Slip-on Shoes - Buy mens leather slip on shoes online at the best price. Inc5, slip-ons for men to suit every occasion, from office meetings to weekend parties.","165","1031","Indexable",""
"https://inc5shop.com/collections/mens-sandals","1","Men's Sandals - Shop branded men's leather sandals online. Explore Inc5's stylish collection of leather sandals, strap sandals, kolhapuri sandals, & one-toe sandals for every occasion.","184","1148","Indexable",""
"https://inc5shop.com/collections/the-prime-fit-collection","1","Explore The Prime Fit Collection by INC5 featuring stylish women’s footwear crafted for superior comfort, modern design, daily wear, and perfect fitting.","153","957","Indexable",""
"https://inc5shop.com/collections/womens-mules","1","Mules for women - Buy ladies mules online at Inc5. Explore our collection in flats mules, heeled mules, platform mules, embellished mules, kitten heel mules & more with COD options.","181","1150","Indexable",""
"https://inc5shop.com/products/womens-brown-casual-solid-round-toe-wedge-heels-102880-coffee","1","Polish outfits with women's coffee brown casual round toe wedge heels for wedding events, with a fresh accent and dressy comfort. Add fresh pretty organization.","160","1028","Indexable",""
"https://inc5shop.com/collections/bags-june-eoss-2026","0","","0","0","Indexable",""
"https://inc5shop.com/pages/clearance-sale","0","","0","0","Indexable",""
"https://inc5shop.com/collections/the-march-edit-in-house-bag","0","","0","0","Indexable",""
"https://inc5shop.com/pages/contactus","1","Reach out to Inc5 for queries, support, or feedback. Connect with our team for assistance regarding orders, products, or general inquiries.","139","865","Indexable",""
"https://inc5shop.com/collections/platform-heels","1","Platform Heels for Women - Shop platform heel sandals online at Inc5. From strappy platform sandals to bold, chunky platform perfect for every occasion.","152","971","Indexable",""
"https://inc5shop.com/pages/refund-policy","1","Read Inc5’s refund and return policy for easy exchanges and refunds. Understand eligibility, timelines, and steps for a hassle-free process.","140","871","Indexable",""
"https://inc5shop.com/collections/shop-our-bestsellers","1","Explore the most loved footwear and accessories from Inc5. Discover top-rated styles that customers can’t get enough of, perfect for every occasion. Explore Now!","161","1029","Indexable",""
"https://inc5shop.com/collections/shop-wallets","0","","0","0","Indexable",""
"https://inc5shop.com/collections/flat-50","1","Enjoy flat 50% off on stylish footwear and accessories at Inc5. Upgrade your wardrobe with trendy picks at unbeatable prices for a limited time. Shop Now!","154","973","Indexable",""
