keyword,intent,page_type,target_url,volume,difficulty,priority,source,status,notes
shoes for women,informational,blog,https://inc5shop.com/blog,301000,HIGH 100,high,Google Search Console via Composio + Google Ads Keyword Planner via Composio,new,GKP volume 301000; competition HIGH 100; GSC 282 clicks and 283717 impressions; observed page https://inc5shop.com/collections/women-footwear
heels for women,informational,blog,https://inc5shop.com/blog,201000,HIGH 99,high,Google Search Console via Composio + Google Ads Keyword Planner via Composio,new,GKP volume 201000; competition HIGH 99; GSC 7897 clicks and 2276047 impressions; observed page https://inc5shop.com/collections/womens-heels
sandals for women,informational,blog,https://inc5shop.com/blog,201000,HIGH 99,high,Google Search Console via Composio + Google Ads Keyword Planner via Composio,new,GKP volume 201000; competition HIGH 99; GSC 9750 clicks and 1783821 impressions; observed page https://inc5shop.com/collections/womens-sandals
sandals for men,informational,blog,https://inc5shop.com/blog,165000,HIGH 100,high,Google Search Console via Composio + Google Ads Keyword Planner via Composio,new,GKP volume 165000; competition HIGH 100; GSC 926 clicks and 380936 impressions; observed page https://inc5shop.com/collections/mens-sandals
boots for women,informational,blog,https://inc5shop.com/blog,135000,HIGH 100,high,Google Search Console via Composio + Google Ads Keyword Planner via Composio,new,GKP volume 135000; competition HIGH 100; GSC 3062 clicks and 894452 impressions; observed page https://inc5shop.com/collections/womens-boots
flats for women,informational,blog,https://inc5shop.com/blog,90500,HIGH 100,high,Google Search Console via Composio + Google Ads Keyword Planner via Composio,new,GKP volume 90500; competition HIGH 100; GSC 3025 clicks and 1493009 impressions; observed page https://inc5shop.com/collections/womens-flats
footwear for women,informational,blog,https://inc5shop.com/blog,60500,HIGH 99,high,Google Search Console via Composio + Google Ads Keyword Planner via Composio,new,GKP volume 60500; competition HIGH 99; GSC 2417 clicks and 467402 impressions; observed page https://inc5shop.com/collections/women-footwear
inc5,navigational,homepage,https://inc5shop.com,49500,HIGH 94,high,Google Search Console via Composio + Google Ads Keyword Planner via Composio,new,GKP volume 49500; competition HIGH 94; GSC 11132 clicks and 510098 impressions; observed page https://inc5shop.com/
wedges for women,informational,blog,https://inc5shop.com/blog,40500,HIGH 100,high,Google Search Console via Composio + Google Ads Keyword Planner via Composio,new,GKP volume 40500; competition HIGH 100; GSC 3435 clicks and 411649 impressions; observed page https://inc5shop.com/collections/womens-wedges
formal shoes for women,informational,blog,https://inc5shop.com/blog,40500,HIGH 99,high,Google Ads Keyword Planner via Composio,new,GKP volume 40500; competition HIGH 99
ladies white shoes,informational,blog,https://inc5shop.com/blog,40500,HIGH 100,high,Google Ads Keyword Planner via Composio,new,GKP volume 40500; competition HIGH 100
heel sandals for women,informational,blog,https://inc5shop.com/blog,33100,HIGH 98,high,Google Search Console via Composio + Google Ads Keyword Planner via Composio,new,GKP volume 33100; competition HIGH 98; GSC 515 clicks and 157176 impressions; observed page https://inc5shop.com/collections/womens-heels
black heels for women,informational,blog,https://inc5shop.com/blog,33100,HIGH 100,high,Google Search Console via Composio + Google Ads Keyword Planner via Composio,new,GKP volume 33100; competition HIGH 100; GSC 328 clicks and 99126 impressions; observed page https://inc5shop.com/collections/womens-heels
