"Address","Occurrences","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Indexability","Indexability Status"
"https://www.strique.io/","1","Run paid media, SEO, content, lifecycle, and reporting from one agentic AI. The leading agentic AI for marketing — used by 1,247 marketers in 38 countries.","155","976","Indexable",""
"https://www.strique.io/contact","1","Book a demo, talk to sales, or ask a hard question. We reply within one business day.","85","534","Indexable",""
"https://www.strique.io/customers/powerlook","1","Fast-fashion brand Powerlook used Strique to compress their creative cycle, scale acquisition, and grow revenue without proportionally adding ad spend or headcount.","164","1051","Indexable",""
"https://www.strique.io/customers/inc5","1","INC5 used Strique to consolidate their fragmented marketing stack, going from 8 vendors and freelancers to a single agent loop that compounded results every month.","163","1055","Indexable",""
"https://www.strique.io/customers","1","Case studies from teams running their entire growth stack on Strique. Real numbers, real outcomes, real trade-offs.","115","730","Indexable",""
"https://www.strique.io/product","1","Strique is the agentic AI marketing platform built for ecommerce. Autonomous AI agents run paid media, SEO, content, and campaign optimisation across Meta, Google, TikTok, and more, with Brand DNA built in.","206","1332","Indexable",""
"https://www.strique.io/terms","1","The agreement you enter into when using Strique. Acceptable use, billing, approvals, warranty, and liability.","109","676","Indexable",""
"https://www.strique.io/for","1","Whether you're a marketing manager, a CMO, or a founder doing marketing at 11pm, here's how Strique fits your role.","115","741","Indexable",""
"https://www.strique.io/pricing","1","Credit-based pricing for AI marketing agents. Starter from $199/mo. Growth, Scale, and Enterprise plans for teams that move fast.","129","822","Indexable",""
"https://www.strique.io/solutions","1","Strique configurations tuned for specific business types: e-commerce, B2B SaaS, agencies, local services.","105","667","Indexable",""
"https://www.strique.io/privacy-policy","1","How Strique collects, uses, and protects personal data. GDPR compliant. Sub-processors, rights, and retention.","110","698","Indexable",""
"https://www.strique.io/trust-center","1","ISO/IEC 27001:2022 certified and GDPR compliant. Audit reports, certifications, sub-processor lists, and DPIA - all available on request.","137","846","Indexable",""
"https://www.strique.io/about","1","Strique is the AI marketing OS we wanted to use ourselves. One agent, every channel, always on. Meet the team building it.","122","778","Indexable",""
"https://www.strique.io/security","1","ISO/IEC 27001 certified, GDPR compliant. Encryption, isolation, versioning, audit logs, and approval gates built in from day one.","129","796","Indexable",""
"https://www.strique.io/careers","1","Open roles at Strique: engineering, design, research, GTM. Small team, high leverage, hybrid and flexible, async-default.","121","754","Indexable",""
"https://www.strique.io/customers/crimzon","1","Crimzon used Strique to scale paid acquisition aggressively without ROAS collapse, pairing creative velocity with conversion-rate gains and AOV uplift.","151","946","Indexable",""
"https://www.strique.io/integrations","1","Native connectors to the ad platforms, CRMs, email providers, and automation tools your team already runs on.","109","703","Indexable",""
"https://www.strique.io/integrations/hubspot","1","Bi-directional CRM sync. Strique reads deal state to inform campaigns and writes contacts and activities back from agent actions.","129","818","Indexable",""
"https://www.strique.io/contact?intent=careers","1","Book a demo, talk to sales, or ask a hard question. We reply within one business day.","85","534","Non-Indexable","Canonicalised"
"https://www.strique.io/integrations/google-ads","1","Search, Performance Max, YouTube, and Display managed as one loop with shared learning across campaign types.","109","736","Indexable",""
"https://www.strique.io/integrations/meta-ads","1","Full-stack Meta Ads management: audit, creative generation, launch, optimization, and reporting across Facebook and Instagram placements.","137","898","Indexable",""
