"Address","Occurrences","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Indexability","Indexability Status"
"https://offlimits.co.in/","1","Shop Sports Shoes, Sneakers, Gym Footwear, and Athleisure Apparel for men & women. Discover stylish, performance-driven collections at Off Limits.","146","949","Indexable",""
"https://offlimits.co.in/collections/mens-bestsellers/products/gladiator-off-white-orm-661-02","1","Shop Gladiator Off White sneakers featuring lightweight comfort, modern styling and everyday versatility. Find your perfect pair at Off Limits.","143","886","Non-Indexable","Canonicalised"
"https://offlimits.co.in/collections/men-clothing","1","Shop from Latest Collection of Sports wear online. Get Workout Outfits Like T-shirts, Shorts, Hoodies, Tracksuit, graphic tees, joggers at OffLimits.","149","920","Indexable",""
"https://offlimits.co.in/collections/white-sneaker","1","Shop white sneakers for men online in India. Discover stylish, comfortable, and durable white sneakers at Off Limits. Perfect for every occasion. Order today!","158","987","Indexable",""
"https://offlimits.co.in/collections/women-track-suits","1","Shop the Latest Track Suits for Women Online From OffLimits. Explore the huge collection of Tracksuits for Women at best prices.","128","820","Indexable",""
"https://offlimits.co.in/collections/women-walking","1","Explore women's walking shoes designed for comfort, cushioning and all-day support. Perfect for daily walks, travel and active lifestyles. Buy now!","147","921","Indexable",""
"https://offlimits.co.in/collections/new-arrivals","1","Discover the latest shoe arrivals at Offlimits. Elevate your style with our newest collection of trendy and comfortable footwear.","129","796","Indexable",""
"https://offlimits.co.in/collections/s-w-a-t-men","1","Discover SWAT men's sports shoes built for training, workouts and everyday performance with superior comfort and style. Walk in comfort, shop at Off Limits.","156","996","Indexable",""
"https://offlimits.co.in/collections/mens-bestsellers/products/sparta-pro-blue-orange-orm-795-03","1","SPARTA PRO - BLUE/ORANGE. Elevate your look with comfortable footwear & Sportswear Clothing. Available with free shipping and easy return.","138","911","Non-Indexable","Canonicalised"
"https://offlimits.co.in/collections/men-track-suits","1","Shop the Latest Track Suit for Mens Online From OffLimits. Explore the huge collection of tracksuit for men online at affordable prices. Order Now!","147","922","Indexable",""
"https://offlimits.co.in/collections/basketball-boots","1","Shop Basketball Boots with superior grip, ankle support, and cushioning for maximum on-court performance. Elevate your game with Off Limits.","140","906","Indexable",""
"https://offlimits.co.in/collections/men-shorts","1","Discover Men's Sports Shorts crafted for workouts, running, and training. Lightweight, breathable, and built for movement. Place your order today!","146","920","Indexable",""
"https://offlimits.co.in/collections/men-sweatshirts","1","Explore stylish men's sweatshirts designed for everyday comfort, training sessions, and casual outings throughout the year. Shop Online now!","140","894","Indexable",""
"https://offlimits.co.in/pages/store-gallery","1","Off Limits Store - Sonipat Off Limits Store - Jaggi Mall Off Limits Store - Ludhiana Off Limits Store - Guwahati Off Limits Store - Jalandhar","141","859","Indexable",""
"https://offlimits.co.in/pages/sitemap","1","Find all collections, blogs and product links here. Explore the latest running Shoes, Sandals & Sliders, Equipment, Apparel and Clothing trends.","144","890","Indexable",""
"https://offlimits.co.in/collections/casual-shoes-men","1","Shop casual shoes for men with modern designs, superior comfort, and versatile styling. Perfect for work, travel, and everyday wear at Off Limits.","146","916","Indexable",""
"https://offlimits.co.in/collections/high-top-shoes-for-men","1","Shop High Top Shoes for Men with superior comfort, ankle support and modern street-style designs for everyday wear. Perfect for work, travel, and everyday wear at Off Limits.","174","1110","Indexable",""
