keyword,intent,page_type,target_url,volume,difficulty,priority,sources,gsc_clicks,gsc_impressions,gsc_position,status
surabhi foods,navigational,homepage,https://surabhi-foods.com/,,,high,brand_dna_seed,,,,active
surabhi sauces,navigational,homepage,https://surabhi-foods.com/,,,high,brand_dna_seed,,,,active
vegetarian sauces india,commercial,collection,https://surabhi-foods.com/collections/all,,,high,brand_dna_seed,,,,new
sauces online india,transactional,collection,https://surabhi-foods.com/collections/all,,,high,brand_dna_seed,,,,new
buy sauces online india,transactional,collection,https://surabhi-foods.com/collections/all,,,high,brand_dna_seed,,,,new
tomato ketchup online,transactional,collection,https://surabhi-foods.com/collections/all,,,high,brand_dna_seed,,,,new
mayonnaise online india,transactional,collection,https://surabhi-foods.com/collections/mayonnaise,,,high,brand_dna_seed,,,,new
buy mayonnaise online,transactional,collection,https://surabhi-foods.com/collections/mayonnaise,,,high,brand_dna_seed,,,,new
jain sauces,commercial,collection,https://surabhi-foods.com/collections/jain-range,,,high,brand_dna_seed,,,,new
jain sauce without onion garlic,commercial,collection,https://surabhi-foods.com/collections/jain-range,,,high,brand_dna_seed,,,,new
no onion no garlic sauces,commercial,collection,https://surabhi-foods.com/collections/jain-range,,,high,brand_dna_seed,,,,new
jain mayonnaise,commercial,collection,https://surabhi-foods.com/collections/jain-range,,,high,brand_dna_seed,,,,new
ginger garlic paste online,transactional,collection,https://surabhi-foods.com/collections/all,,,high,brand_dna_seed,,,,new
pizza pasta sauce online,transactional,collection,https://surabhi-foods.com/collections/all,,,medium,brand_dna_seed,,,,new
fruit jam online india,transactional,collection,https://surabhi-foods.com/collections/all,,,medium,brand_dna_seed,,,,new
chutney online india,transactional,collection,https://surabhi-foods.com/collections/all,,,medium,brand_dna_seed,,,,new
indian condiments online,transactional,collection,https://surabhi-foods.com/collections/all,,,medium,brand_dna_seed,,,,new
vegetarian mayonnaise india,commercial,collection,https://surabhi-foods.com/collections/mayonnaise,,,medium,brand_dna_seed,,,,new
homemade sauce alternatives,informational,blog,https://surabhi-foods.com/blogs/blogs-by-surabhi,,,low,brand_dna_seed,,,,new
how to use pizza pasta sauce,informational,blog,https://surabhi-foods.com/blogs/blogs-by-surabhi,,,medium,brand_dna_seed,,,,new
recipes with mayonnaise indian,informational,blog,https://surabhi-foods.com/pages/recipes-1,,,medium,brand_dna_seed,,,,new
jain recipes without onion garlic,informational,blog,https://surabhi-foods.com/pages/recipes-1,,,high,brand_dna_seed,,,,new
