keyword,intent,page_type,target_url,volume,difficulty,priority,status
heels for women,commercial,collection,https://inc5shop.com/collections/womens-heels,,78,high,active
sandals for women,commercial,collection,https://inc5shop.com/collections/womens-sandals,,76,high,active
flats for women,commercial,collection,https://inc5shop.com/collections/womens-flats,,75,high,active
wedges for women,commercial,collection,https://inc5shop.com/collections/womens-wedges,,66,high,active
boots for women,commercial,collection,https://inc5shop.com/collections/womens-boots,,74,high,active
footwear for women,commercial,collection,https://inc5shop.com/collections/women-footwear,,72,high,active
platform heels for women,commercial,collection,https://inc5shop.com/collections/platform-heels,,55,high,active
transparent heels,commercial,collection,https://inc5shop.com/collections/transparent-heel-for-women,,52,high,active
block heels for women,commercial,collection,https://inc5shop.com/collections/womens-heels,,58,high,active
sandals for men,commercial,collection,https://inc5shop.com/collections/mens-sandals,,72,high,active
leather sandals for men,commercial,collection,https://inc5shop.com/collections/mens-sandals,,55,high,active
formal shoes for men,commercial,collection,https://inc5shop.com/collections/mens-formals,,70,high,active
shoulder bags for women,commercial,collection,https://inc5shop.com/collections/shoulder-bags,,60,high,active
sandals for women office wear,commercial,collection,https://inc5shop.com/collections/womens-sandals,,44,high,active
mules,commercial,collection,https://inc5shop.com/collections/womens-mules,,58,medium,active
inc 5,navigational,homepage,https://inc5shop.com/,,8,medium,active
