"Address","Occurrences","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Indexability","Indexability Status"
"https://offlimits.co.in/collections/white-sneaker","1","Shop white sneakers for men online in India. Discover stylish, comfortable, and durable white sneakers at Off Limits. Perfect for every occasion. Order today!","158","987","Indexable",""
"https://offlimits.co.in/pages/shipping-policy","1","We strive to deliver products purchased from OFFLIMITS in excellent condition and in the fastest time possible. Get Free Shipping On All Orders Above Rs.500.","157","998","Indexable",""
"https://offlimits.co.in/collections/limited-edition","1","Shop our limited edition shoes and sneakers by Off Limits featuring exclusive designs, premium comfort and standout style. Step into comfort with Off Limits.","157","994","Indexable",""
"https://offlimits.co.in/collections/women-shoes","1","Shop women's shoes including sports shoes, sneakers and lifestyle footwear online in Off Limits, designed for comfort and style. Refresh your footwear collection now.","166","1054","Indexable",""
"https://offlimits.co.in/collections/mens-running-gym-shoes","1","Shop Men's Running & Gym Shoes designed for training, workouts & fitness performance. Lightweight, durable & built for everyday movement. Grab the deal on Off Limits today!","172","1114","Indexable",""
"https://offlimits.co.in/collections/men-basketball","1","Discover men's basketball shoes built for grip, support and comfort at Off Limits to enhance your on-court performance. Shop now before your size sells out.","156","985","Indexable",""
"https://offlimits.co.in/collections/mens-bestsellers","1","Explore bestselling men's shoes, sneakers and Athleisure Apperal loved for their comfort, performance and everyday versatility. Find your perfect pair at Off Limits.","165","1028","Indexable",""
"https://offlimits.co.in/collections/stussy-for-women","1","Explore Off Limits Stussy shoes for women featuring contemporary designs, superior comfort and versatile everyday fashion. Elevate your everyday style today.","157","1011","Indexable",""
"https://offlimits.co.in/collections/women-gym-training","1","Shop women's gym training shoes designed for workouts, fitness sessions and active lifestyles with comfort and support. Discover the latest styles at Off Limits.","161","1014","Indexable",""
"https://offlimits.co.in/collections/men-tshirts-graphic-tees","1","Discover men's graphic t-shirts and casual tees featuring stylish prints, comfortable fabrics and versatile everyday wear. Upgrade your style with Off Limits!","158","979","Indexable",""
